seller_id,total_orders,avg_delivery_days,avg_delay_days,late_deliveries
139157dd4daa45c25b0807ffff348363,1,1.0000,-13.0000,0
5e063e85d44b0f5c3e6ec3131103a57e,1,1.0000,-7.0000,0
6561d6bf844e464b4019442692b40e02,1,1.0000,-7.0000,0
751e274377499a8503fd6243ad9c56f6,2,2.0000,-6.0000,0
26562f211dd1364af2a8596dc945e8ae,2,2.0000,-5.0000,0
674207551483fec113276b67b0d871ff,1,2.0000,-11.0000,0
7d81e74a4755b552267cd5e081563028,1,2.0000,-6.0000,0
eae9af4811c294c56795d70e715b7337,1,2.0000,-8.0000,0
734def04b237117a09321dd6d8f3f2a2,2,2.0000,-16.5000,0
e00d85ce20ea50c1224c66ca5050527d,1,2.0000,-11.0000,0
96f7c797de9ca20efbe14545bed63eec,3,2.0000,-14.0000,0
d9b00a97818674c7f8d8b1ef0e689679,1,2.0000,-5.0000,0
2c00c85d30361cd2ced2969cffbbffa3,1,2.0000,-8.0000,0
0af977692321d895349eded183341d28,2,2.0000,-8.5000,0
99a25c39b28a74d1151c35c18d178292,6,2.0000,-10.0000,0
7caa63f175b1cecbfaadd8b5ab9998c7,1,2.0000,-22.0000,0
f3511c85f59f8dec53d140501ee8e7a8,1,2.0000,-10.0000,0
702835e4b785b67a084280efca355756,1,2.0000,-23.0000,0
37303482a42fb700d8d127e70a9cd6c8,1,2.0000,-15.0000,0
f664f98bfda2eaf266a23ff144e7a872,2,2.5000,-10.0000,0
8def3db7f272735afb2ecd03aeca09a7,2,2.5000,-9.5000,0
b76f4d90e85657a240495c876313adc5,1,3.0000,-6.0000,0
cad9969167c09b48ae6f1d123f7fa68d,1,3.0000,-11.0000,0
52b53f7061969fe471d119b6195da864,1,3.0000,-8.0000,0
e8ff5a6ceb895583033fc2a0f314e3c2,1,3.0000,-13.0000,0
04ee0ec01589969663ba5967c0e0bdc0,1,3.0000,-13.0000,0
99cd94252748d2bdde08e17858233602,2,3.0000,-17.5000,0
686886775c8f6b1191c7b953fb52708c,1,3.0000,-14.0000,0
25be943a321c8938947bdaabca979a90,3,3.0000,-10.0000,0
d85efbc8eff2b7adf524e2820569adc8,1,3.0000,-9.0000,0
0b46f784306be7200ca1700aa55d819f,1,3.0000,-15.0000,0
bbd3acfe6de99892e73940d3fdceaf68,2,3.0000,-8.0000,0
3296662b1331dea51e744505065ae889,1,3.0000,-11.0000,0
740205fedfe4e90ca6857bc77db0f2b4,1,3.0000,-31.0000,0
c1dde11f12d05c478f5de2d7319ad3b2,1,3.0000,-9.0000,0
a3b42d266fa8afc874b909422ce88582,6,3.0000,-4.0000,0
db6a4d4b5f1f5f98820ce6ce2619e2de,1,3.0000,-19.0000,0
d63f306de130e0391d38a792541723b8,1,3.0000,-4.0000,0
bbf4a892cac7b82422baa711dffb8997,1,3.0000,-29.0000,0
513a54369b6a8a6602fcb0e129c6d78d,2,3.0000,-5.5000,0
b5f0712d22a873b6797ab6cc65c3fcba,1,3.0000,-4.0000,0
850857dfac77488c307e2b1cbd84ab5a,1,3.0000,-26.0000,0
9ac75591b69c3402684b6ce0310f22ee,1,3.0000,0.0000,1
26b482dccfa29bd2e40703ba45523702,4,3.2500,-8.2500,0
c5e60e39c0f42b8e827daa13cff74afa,8,3.2500,-6.8750,1
76623fde66e6b63b59440fd34160512d,3,3.3333,-13.3333,0
bec568278124768c474ee90971ca94d1,2,3.5000,-13.0000,0
6e1862e15f33d9994bc25922a85e1efc,12,3.5000,-19.9167,0
e0487761face83d64fcada2408959a36,2,3.5000,-3.5000,0
6c9875b2f94ba781186f0c1aed8d1687,4,3.5000,-16.5000,0
5bf397d04035b5f45cc41e82ec106803,4,3.5000,-21.2500,0
c161d1327ebc3a156c09582ab2f59f6c,2,3.5000,-11.0000,0
693660429f9dc4ff704eb3d88dad54d7,2,3.5000,-17.0000,0
788f22bafdd7ab0e1e79f19db72f16a4,2,3.5000,-6.0000,0
74871d19219c7d518d0090283e03c137,7,3.5714,-7.8571,0
b4b447d715f9ab302a188fb43d3e96b3,5,3.6000,-6.4000,1
13dd308f81fea30cc670c656b2b46cc3,3,3.6667,-6.3333,1
a06c8ff043abea0528ee44171e2140a2,8,3.8750,-10.8750,0
30a81d8cf85fb2ada1b1b094c9583a95,20,3.9000,-7.6000,0
131fcb0a0c9a47bba4474aacff0f14b7,4,4.0000,-8.0000,0
3442033154be05bac582e173ef54fd12,1,4.0000,-3.0000,0
82921991ff5b557b045605b8bbf08d49,1,4.0000,-13.0000,0
446cc09cdbb130904da114e807dbec40,3,4.0000,-24.6667,0
762fafdaa57a532ee0119731697579dd,5,4.0000,-13.2000,0
003554e2dce176b5555353e4f3555ac8,1,4.0000,-27.0000,0
cf654707ed6a99f112c7ec3d6f314b8b,4,4.0000,-7.5000,0
f049a72cf58fd31b11f8919cade515e7,4,4.0000,-14.2500,0
10264f60a8f0a4d2f30810f5c661c673,4,4.0000,-8.7500,0
213fafb0ca06fb3d5886579c2565791b,3,4.0000,-6.3333,0
aa2640d851ec322526f1295bbeb20092,2,4.0000,-5.0000,0
668bf321538e5072858eaef6087ce027,1,4.0000,-10.0000,0
83a75eea11694e36e56dd0cb2240229a,3,4.0000,-14.6667,0
5a4236931428800e9d9cc04af0987118,3,4.0000,-13.0000,0
3e46a38ee171c503c3b4a3f23fe3bf0c,1,4.0000,-9.0000,0
cad10cc982ab6a391570c211b995c17c,1,4.0000,-14.0000,0
ce3ad9de960102d0677a81f5d0bb7b2d,1,4.0000,-13.0000,0
95cca791657aabeff15a07eb152d7841,1,4.0000,-26.0000,0
e72b4feb7abe210c52aa667abc25a3a2,2,4.0000,-13.0000,0
c398bc00a606d33758afd91f4e64fd15,2,4.0000,-28.0000,0
c8665a4dd081a2c436b1cd921079d0d9,1,4.0000,-24.0000,0
d3891911c2feae53c52fea2bd14054e5,2,4.0000,-15.5000,0
4e2627090e6e5b9fabba883a37897683,1,4.0000,-14.0000,0
fc0b214b59a83615fea981c6424a02ae,1,4.0000,-6.0000,0
db7ed69a53aa9fb1c01930ba54a88bbe,1,4.0000,-9.0000,0
d297f1055de2956aedfd3b04113dce3e,1,4.0000,-4.0000,0
6a3139c7bf09ece22a4713d956acbe5e,1,4.0000,-13.0000,0
389e45560e33d2d0747f949dcddbc08e,1,4.0000,-7.0000,0
28872dc528e978a639754bc8c2ce5a4c,1,4.0000,-31.0000,0
bd65d163ded559eb90a10cd09fec178f,2,4.0000,-17.0000,0
c611f4ce9ce875bcc063fa97fd4d7d12,1,4.0000,1.0000,1
535bf14f36346c7f59d87cece104d70c,1,4.0000,0.0000,1
1cbcd2ee0afb3fc09963b87eb65e7e4f,3,4.0000,-13.0000,0
4a5b36211b1f51bf7eaa5c10a57fa483,1,4.0000,-8.0000,0
3fac58ce0ad699020c7944d53c41329c,16,4.0625,-6.9375,3
5a413ade68e8f8d93071a7f52a64cb9e,14,4.0714,-4.5714,2
5def4c3732941a971cba8fdee992ede1,6,4.1667,-5.8333,0
7f40d06aa0b5f1aa4f41af8c0480e2ef,6,4.1667,-10.1667,1
c3e1abd72a42fe690fcd89cf5720fe29,13,4.2308,-11.3846,0
98115075dd26cb8835946fc6086f5d30,4,4.2500,-7.0000,0
ca7c6bd577e559472af1c699de9e764e,8,4.2500,-8.6250,0
73b8eb4a9a729d4019b24ed1be748cbf,7,4.2857,-7.2857,0
777a0c55737f34ffeb78010f7542ab41,6,4.3333,-9.8333,0
6e13dd869aa7185f601c941423abcc8f,6,4.3333,-12.3333,0
e1643dff33666ca629e3644c02738179,3,4.3333,-12.3333,0
b44dbfbf62e52125f3c15d230569ea91,8,4.3750,-9.0000,0
508808d438fe2ff972ed13bb8f4a82e2,10,4.4000,-8.8000,0
6824a69c9ea0313eba299dd4a2dba09a,7,4.4286,-14.1429,0
a1bea7061f61f6fdd9a85a6325ba1033,9,4.4444,-6.1111,1
41c2bad7229b0c25e6becf179ebf63ff,23,4.4783,-16.0435,0
119d1aef1b4144adba89163f6cd9f5d4,4,4.5000,-12.0000,0
58c851d1a3c7cd3da329eb59453fed44,2,4.5000,-11.5000,0
bc39d8938f90a3a2b98193723ed59774,2,4.5000,-13.0000,0
929f342384a6607afe143d789ade1316,4,4.5000,-15.2500,0
d58d521f3789def2e7a22715e0badd93,2,4.5000,-9.0000,0
