category,avg_review_score,total_reviews
"Books_General_Interest",4.45,549
"Books_Technical",4.37,266
"Food_Drink",4.32,279
"Luggage_Accessories",4.32,1088
"Fashion_Shoes",4.23,261
"Food",4.22,495
"Stationery",4.19,2507
"Pet_Shop",4.19,1939
"Computers",4.18,200
"Home_Appliances",4.17,806
"Perfumery",4.16,3421
"Toys",4.16,4091
"Musical_Instruments",4.15,675
"Cool_Stuff",4.15,3772
"Small_Appliances",4.15,677
"Fashion_Bags_Accessories",4.14,2039
"Health_Beauty",4.14,9645
"Home_Appliances_2",4.14,238
"Furniture_Bedroom",4.12,110
"Sports_Leisure",4.11,8640
"Industry_Commerce_And_Business",4.10,266
"Signaling_And_Security",4.09,197
"Auto",4.07,4213
"Housewares",4.06,6942
"Drinks",4.05,377
"Construction_Tools_Construction",4.05,926
"Construction_Tools_Lights",4.05,296
"Costruction_Tools_Garden",4.05,240
"Electronics",4.04,2749
"Garden_Tools",4.04,4328
"Market_Place",4.02,309
"Consoles_Games",4.02,1127
"Watches_Gifts",4.02,5950
"Christmas_Supplies",4.02,146
"Baby",4.01,3048
"Agro_Industry_And_Commerce",4.00,212
"Fashion_Underwear_Beach",3.98,130
"Air_Conditioning",3.97,292
"Kitchen_Dining_Laundry_Garden_Furniture",3.96,280
"Telephony",3.95,4517
"Home_Construction",3.94,600
"Art",3.94,207
"Computers_Accessories",3.93,7849
"Bed_Bath_Table",3.90,11136
"Furniture_Decor",3.90,8330
"Furniture_Living_Room",3.90,502
"Construction_Tools_Safety",3.84,193
"Audio",3.83,361
"Home_Confort",3.83,435
"Fixed_Telephony",3.68,262
"Fashion_Male_Clothing",3.64,131
"Office_Furniture",3.49,1687
