cohort_month,month_index,active_customers,retention_rate
2016-09-01,0,1,1.0000
2016-10-01,0,262,1.0000
2016-10-01,6,1,0.0038
2016-10-01,9,1,0.0038
2016-10-01,11,1,0.0038
2016-10-01,13,1,0.0038
2016-10-01,15,1,0.0038
2016-10-01,17,1,0.0038
2016-10-01,19,2,0.0076
2016-10-01,20,2,0.0076
2016-12-01,0,1,1.0000
2016-12-01,1,1,1.0000
2017-01-01,0,717,1.0000
2017-01-01,1,2,0.0028
2017-01-01,2,2,0.0028
2017-01-01,3,1,0.0014
2017-01-01,4,3,0.0042
2017-01-01,5,1,0.0014
2017-01-01,6,3,0.0042
2017-01-01,7,1,0.0014
2017-01-01,8,1,0.0014
2017-01-01,10,3,0.0042
2017-01-01,11,1,0.0014
2017-01-01,12,5,0.0070
2017-01-01,13,3,0.0042
2017-01-01,14,1,0.0014
2017-01-01,15,1,0.0014
2017-01-01,16,2,0.0028
2017-01-01,17,3,0.0042
2017-01-01,19,1,0.0014
2017-02-01,0,1628,1.0000
2017-02-01,1,3,0.0018
2017-02-01,2,5,0.0031
2017-02-01,3,2,0.0012
2017-02-01,4,7,0.0043
2017-02-01,5,2,0.0012
2017-02-01,6,4,0.0025
2017-02-01,7,3,0.0018
2017-02-01,8,2,0.0012
2017-02-01,9,3,0.0018
2017-02-01,10,2,0.0012
2017-02-01,11,5,0.0031
2017-02-01,12,2,0.0012
2017-02-01,13,3,0.0018
2017-02-01,14,2,0.0012
2017-02-01,15,1,0.0006
2017-02-01,16,1,0.0006
2017-02-01,17,3,0.0018
2017-03-01,0,2503,1.0000
2017-03-01,1,11,0.0044
2017-03-01,2,9,0.0036
2017-03-01,3,10,0.0040
2017-03-01,4,9,0.0036
2017-03-01,5,4,0.0016
2017-03-01,6,4,0.0016
2017-03-01,7,8,0.0032
2017-03-01,8,8,0.0032
2017-03-01,9,2,0.0008
2017-03-01,10,9,0.0036
2017-03-01,11,3,0.0012
2017-03-01,12,5,0.0020
2017-03-01,13,3,0.0012
2017-03-01,14,4,0.0016
2017-03-01,15,6,0.0024
2017-03-01,16,2,0.0008
2017-03-01,17,3,0.0012
2017-04-01,0,2256,1.0000
2017-04-01,1,14,0.0062
2017-04-01,2,5,0.0022
2017-04-01,3,4,0.0018
2017-04-01,4,6,0.0027
2017-04-01,5,6,0.0027
2017-04-01,6,8,0.0035
2017-04-01,7,7,0.0031
2017-04-01,8,7,0.0031
2017-04-01,9,4,0.0018
2017-04-01,10,6,0.0027
2017-04-01,11,2,0.0009
2017-04-01,12,1,0.0004
2017-04-01,13,1,0.0004
2017-04-01,14,2,0.0009
2017-04-01,15,2,0.0009
2017-04-01,16,3,0.0013
2017-05-01,0,3451,1.0000
2017-05-01,1,16,0.0046
2017-05-01,2,16,0.0046
2017-05-01,3,10,0.0029
2017-05-01,4,10,0.0029
2017-05-01,5,11,0.0032
2017-05-01,6,14,0.0041
2017-05-01,7,5,0.0014
2017-05-01,8,9,0.0026
2017-05-01,9,9,0.0026
2017-05-01,10,9,0.0026
2017-05-01,11,12,0.0035
2017-05-01,12,8,0.0023
2017-05-01,13,1,0.0003
2017-05-01,14,6,0.0017
2017-05-01,15,7,0.0020
2017-06-01,0,3037,1.0000
2017-06-01,1,15,0.0049
2017-06-01,2,12,0.0040
2017-06-01,3,13,0.0043
2017-06-01,4,9,0.0030
2017-06-01,5,12,0.0040
2017-06-01,6,11,0.0036
2017-06-01,7,7,0.0023
2017-06-01,8,4,0.0013
2017-06-01,9,6,0.0020
2017-06-01,10,9,0.0030
2017-06-01,11,11,0.0036
2017-06-01,12,5,0.0016
2017-06-01,13,5,0.0016
2017-06-01,14,7,0.0023
2017-07-01,0,3752,1.0000
2017-07-01,1,20,0.0053
2017-07-01,2,13,0.0035
2017-07-01,3,9,0.0024
2017-07-01,4,11,0.0029
2017-07-01,5,8,0.0021
2017-07-01,6,12,0.0032
2017-07-01,7,4,0.0011
2017-07-01,8,7,0.0019
2017-07-01,9,10,0.0027
2017-07-01,10,8,0.0021
2017-07-01,11,11,0.0029
2017-07-01,12,5,0.0013
2017-07-01,13,9,0.0024
2017-08-01,0,4057,1.0000
2017-08-01,1,28,0.0069
2017-08-01,2,14,0.0035
2017-08-01,3,11,0.0027
2017-08-01,4,14,0.0035
2017-08-01,5,21,0.0052
2017-08-01,6,12,0.0030
2017-08-01,7,11,0.0027
2017-08-01,8,6,0.0015
2017-08-01,9,6,0.0015
2017-08-01,10,10,0.0025
2017-08-01,11,8,0.0020
2017-08-01,12,5,0.0012
2017-09-01,0,4004,1.0000
2017-09-01,1,28,0.0070
2017-09-01,2,22,0.0055
2017-09-01,3,11,0.0027
2017-09-01,4,18,0.0045
2017-09-01,5,9,0.0022
2017-09-01,6,9,0.0022
2017-09-01,7,10,0.0025
2017-09-01,8,11,0.0027
2017-09-01,9,7,0.0017
2017-09-01,10,10,0.0025
2017-09-01,11,3,0.0007
2017-10-01,0,4328,1.0000
2017-10-01,1,31,0.0072
2017-10-01,2,11,0.0025
2017-10-01,3,4,0.0009
2017-10-01,4,10,0.0023
2017-10-01,5,9,0.0021
2017-10-01,6,9,0.0021
2017-10-01,7,16,0.0037
2017-10-01,8,12,0.0028
2017-10-01,9,8,0.0018
2017-10-01,10,9,0.0021
2017-11-01,0,7060,1.0000
2017-11-01,1,40,0.0057
2017-11-01,2,26,0.0037
2017-11-01,3,12,0.0017
2017-11-01,4,12,0.0017
2017-11-01,5,13,0.0018
2017-11-01,6,8,0.0011
2017-11-01,7,13,0.0018
2017-11-01,8,9,0.0013
2017-11-01,9,4,0.0006
2017-12-01,0,5338,1.0000
2017-12-01,1,11,0.0021
2017-12-01,2,15,0.0028
2017-12-01,3,18,0.0034
2017-12-01,4,14,0.0026
2017-12-01,5,11,0.0021
2017-12-01,6,9,0.0017
2017-12-01,7,1,0.0002
2017-12-01,8,10,0.0019
2018-01-01,0,6842,1.0000
2018-01-01,1,23,0.0034
2018-01-01,2,25,0.0037
2018-01-01,3,20,0.0029
2018-01-01,4,20,0.0029
2018-01-01,5,11,0.0016
2018-01-01,6,12,0.0018
2018-01-01,7,16,0.0023
2018-02-01,0,6288,1.0000
2018-02-01,1,22,0.0035
2018-02-01,2,25,0.0040
2018-02-01,3,19,0.0030
2018-02-01,4,16,0.0025
