seller_id,avg_delay_days,delayed_orders
54965bbe3e4f07ae045b90b0b8541f52,27.31,26
2c9e548be18521d1c43cde1c582c6de8,16.41,29
cca3071e3e9bb7d12640c9fbe2301306,15.66,44
fe2032dab1a61af8794248c8196565c9,13.54,26
53e4c6e0f4312d4d2107a8c9cddf45cd,12.11,27
c3867b4666c7d76867627c2f7fb22e21,11.81,27
7ddcbb64b5bc1ef36ca8c151f6ec77df,11.71,28
218d46b86c1881d022bce9c68a7d4b15,11.58,38
7a67c85e85bb2ce8582c35f2203ad736,11.21,68
634964b17796e64304cadf1ad3050fb7,11.03,31
ef506c96320abeedfb894c34db06f478,10.83,29
17e34d8224d27a541263c4c64b11a56b,10.81,21
7d13fca15225358621be4086e1eb0964,10.74,68
e9779976487b77c6d4ac45f75ec7afe9,10.67,55
8160255418d5aaa7dbdc9f4c64ebda44,10.41,76
