product_category_name,total_orders,total_revenue,avg_product_price,avg_delivery_days,avg_review_score
beleza_saude,9727,1446622.08,129.859005,11.9211,4.1428
relogios_presentes,6001,1306761.40,200.979058,12.5882,4.0192
cama_mesa_banho,11270,1258189.51,93.250808,12.7583,3.8958
esporte_lazer,8700,1163329.98,114.213392,12.0754,4.1080
informatica_acessorios,7894,1068070.48,116.498675,13.1691,3.9308
moveis_decoracao,8415,910683.05,87.496431,12.8307,3.9037
utilidades_domesticas,6989,781170.03,90.791615,10.8695,4.0553
cool_stuff,3806,721492.90,167.435236,12.3182,4.1463
automotivo,4256,687374.19,139.652984,12.1566,4.0655
ferramentas_jardim,4361,585646.54,111.541493,13.6562,4.0432
brinquedos,4125,562310.57,117.519976,11.6413,4.1586
bebes,3073,480647.26,134.109167,12.4572,4.0118
perfumaria,3435,454664.54,116.510317,11.7225,4.1619
telefonia,4550,395190.98,71.173495,12.7984,3.9469
moveis_escritorio,1701,344082.76,161.801581,20.8004,3.4932
papelaria,2525,278224.15,91.604044,12.6718,4.1939
pet_shop,1949,254190.79,110.103340,11.1641,4.1851
pcs,203,232799.43,1098.340542,13.4372,4.1750
instrumentos_musicais,681,210173.23,281.239031,12.9218,4.1526
unknown_category,1612,208630.70,111.834516,12.7353,3.8411
eletroportateis,683,207736.19,280.485329,10.7689,4.1492
eletronicos,2768,206989.23,57.939538,12.8106,4.0375
fashion_bolsas_e_acessorios,2050,185436.22,74.954585,11.0554,4.1447
consoles_games,1138,177844.54,138.840264,13.5367,4.0231
malas_acessorios,1092,170875.21,128.598883,10.6175,4.3153
construcao_ferramentas_construcao,931,166199.44,156.293652,10.6362,4.0529
eletrodomesticos_2,240,124220.38,473.272458,13.8069,4.1429
eletrodomesticos,809,98758.41,102.837577,11.1806,4.1725
casa_construcao,605,97052.07,137.533835,13.1524,3.9400
moveis_sala,507,87523.96,136.937396,13.8737,3.9044
agro_industria_e_comercio,212,78374.07,342.124858,11.5825,4.0000
casa_conforto,437,67380.21,134.619542,13.4514,3.8299
telefonia_fixa,265,64281.60,224.992415,12.7109,3.6832
climatizacao,297,61774.19,185.269226,12.1938,3.9692
moveis_cozinha_area_de_servico_jantar_e_jardim,282,58542.86,164.742447,11.7956,3.9643
audio,365,56462.94,139.009315,13.2755,3.8255
livros_interesse_geral,553,56052.40,84.732152,11.5485,4.4463
portateis_casa_forno_e_cafe,76,50193.57,624.285658,9.7945,4.3026
construcao_ferramentas_iluminacao,305,48918.38,135.436066,9.6490,4.0541
industria_comercio_e_negocios,269,47651.31,147.753197,10.6981,4.1015
construcao_ferramentas_seguranca,194,44463.62,208.992371,11.8579,3.8446
alimentos,510,36664.44,57.634137,9.4970,4.2182
market_place,311,33834.53,91.249100,12.1246,4.0194
construcao_ferramentas_jardim,240,31105.47,107.373917,11.8376,4.0542
fashion_calcados,265,28733.87,89.688566,15.4346,4.2337
bebidas,383,28294.07,58.762141,10.3507,4.0477
artes,209,28247.81,115.802105,11.3046,3.9372
sinalizacao_e_seguranca,199,28017.05,108.086583,10.4315,4.0863
moveis_quarto,110,24973.50,184.352545,13.1748,4.1182
livros_tecnicos,269,23456.53,71.185985,10.5774,4.3684
alimentos_bebidas,280,19826.80,54.537393,10.7786,4.3154
construcao_ferramentas_ferramentas,103,17934.17,154.407282,12.0680,4.4444
fashion_roupa_masculina,132,12950.23,81.801667,12.8960,3.6412
artigos_de_natal,153,12030.12,57.521699,15.6733,4.0205
fashion_underwear_e_moda_praia,131,11457.74,72.836260,13.6063,3.9769
tablets_impressao_imagem,83,8754.61,90.703735,12.9639,4.1235
cine_foto,73,8212.95,95.196712,10.4225,4.2055
dvds_blu_ray,64,7288.13,93.740469,12.8525,4.0794
musica,38,6724.86,158.798684,11.5526,4.2105
moveis_colchao_e_estofado,38,5998.54,114.949474,14.4054,3.8158
livros_importados,60,5409.70,77.330833,7.9649,4.4000
artigos_de_festas,43,5313.15,104.306512,9.1429,3.7674
portateis_cozinha_e_preparadores_de_alimentos,15,4278.29,264.568667,7.9286,3.2667
fashion_roupa_feminina,50,3535.84,57.788800,11.8478,3.7800
fashion_esporte,31,2736.73,69.177419,11.8000,4.2581
la_cuisine,14,2388.54,146.785000,7.6429,4.0000
artes_e_artesanato,24,2184.14,75.583750,5.6667,4.1250
fraldas_higiene,39,2141.27,40.194615,10.6486,3.2564
pc_gamer,9,1679.52,171.772222,9.5000,3.3333
flores,33,1598.91,33.637576,11.1212,4.4194
casa_conforto_2,30,1170.58,25.342333,14.5333,3.6296
cds_dvds_musicais,14,954.99,52.142857,10.5714,4.6429
fashion_roupa_infanto_juvenil,8,665.36,71.231250,8.8571,4.5000
seguros_e_servicos,2,324.51,141.645000,15.0000,2.5000
