category,order_month,total_orders,total_revenue,avg_price
agro_industria_e_comercio,2017-01,3,107.76,21.990000
agro_industria_e_comercio,2017-02,7,331.10,32.120000
agro_industria_e_comercio,2017-03,2,110.69,40.995000
agro_industria_e_comercio,2017-05,4,1763.74,394.985000
agro_industria_e_comercio,2017-06,1,1422.05,1390.000000
agro_industria_e_comercio,2017-07,1,1199.47,1180.000000
agro_industria_e_comercio,2017-08,4,224.60,22.000000
agro_industria_e_comercio,2017-09,4,2119.69,498.497500
agro_industria_e_comercio,2017-10,5,3558.43,670.056000
agro_industria_e_comercio,2017-11,19,14610.32,733.288947
agro_industria_e_comercio,2017-12,11,5664.04,481.063636
agro_industria_e_comercio,2018-01,18,6296.51,325.191111
agro_industria_e_comercio,2018-02,26,8031.41,284.050000
agro_industria_e_comercio,2018-03,26,5639.49,198.500000
agro_industria_e_comercio,2018-04,12,4783.66,375.058333
agro_industria_e_comercio,2018-05,8,3433.22,409.968750
agro_industria_e_comercio,2018-06,10,3843.05,351.580000
agro_industria_e_comercio,2018-07,27,7520.33,247.030370
agro_industria_e_comercio,2018-08,18,5543.74,278.949444
alimentos,2016-10,1,96.23,79.900000
alimentos,2017-01,2,78.82,21.410000
alimentos,2017-02,8,875.25,84.591250
alimentos,2017-03,21,2830.01,114.888571
alimentos,2017-04,8,611.15,61.412500
alimentos,2017-05,3,452.25,129.300000
alimentos,2017-06,1,171.79,149.900000
alimentos,2017-07,7,754.19,83.451429
alimentos,2017-08,8,500.23,45.562500
alimentos,2017-09,17,1239.20,58.407059
alimentos,2017-10,17,1022.42,47.415294
alimentos,2017-11,14,662.05,35.577857
alimentos,2017-12,13,1117.24,72.256923
alimentos,2018-01,19,1080.12,43.661053
alimentos,2018-02,38,2269.53,46.934737
alimentos,2018-03,35,2068.59,44.568571
alimentos,2018-04,40,2219.99,41.635750
alimentos,2018-05,44,2079.48,35.066591
alimentos,2018-06,24,1693.59,57.132500
alimentos,2018-07,64,4401.42,52.783906
alimentos,2018-08,115,9571.13,71.079826
alimentos_bebidas,2017-03,4,132.93,21.450000
alimentos_bebidas,2017-04,3,80.78,15.966667
alimentos_bebidas,2017-05,12,497.69,28.790833
alimentos_bebidas,2017-06,2,82.78,28.700000
alimentos_bebidas,2017-07,8,261.68,21.025000
alimentos_bebidas,2017-08,15,728.95,32.987333
alimentos_bebidas,2017-09,9,444.78,34.540000
alimentos_bebidas,2017-10,17,2654.99,135.131176
alimentos_bebidas,2017-11,33,3031.35,74.108182
alimentos_bebidas,2017-12,21,1403.16,49.222857
alimentos_bebidas,2018-01,11,529.22,31.015455
alimentos_bebidas,2018-02,23,1331.43,44.273913
alimentos_bebidas,2018-03,19,2623.50,123.724737
alimentos_bebidas,2018-04,18,885.03,33.615000
alimentos_bebidas,2018-05,25,1674.74,49.577600
alimentos_bebidas,2018-06,11,512.81,26.713636
alimentos_bebidas,2018-07,17,1121.56,45.807647
alimentos_bebidas,2018-08,21,1340.39,48.981429
artes,2017-03,4,255.00,43.650000
artes,2017-04,1,147.17,119.900000
artes,2017-05,6,7302.75,1154.541667
artes,2017-06,4,285.35,50.075000
artes,2017-07,3,424.90,128.916667
artes,2017-08,4,317.06,61.175000
artes,2017-09,3,435.85,129.513333
artes,2017-10,3,400.45,116.350000
artes,2017-11,1,92.78,75.000000
artes,2017-12,3,163.39,38.416667
artes,2018-01,19,2864.21,133.724737
artes,2018-02,12,1509.23,101.392500
artes,2018-03,7,581.66,65.928571
artes,2018-04,26,2623.04,82.318462
artes,2018-05,34,3021.88,73.293235
artes,2018-06,28,3019.18,89.290714
artes,2018-07,21,2265.73,87.771429
artes,2018-08,18,1775.90,82.299444
artes_e_artesanato,2017-05,1,29.66,21.990000
artes_e_artesanato,2017-07,1,145.56,129.900000
artes_e_artesanato,2018-04,1,34.22,15.990000
artes_e_artesanato,2018-05,1,101.05,89.800000
artes_e_artesanato,2018-07,11,804.60,59.506364
artes_e_artesanato,2018-08,9,1069.05,100.195556
artigos_de_festas,2017-07,1,83.41,69.900000
artigos_de_festas,2017-09,2,303.20,134.900000
artigos_de_festas,2017-10,2,163.87,68.900000
artigos_de_festas,2017-11,3,906.57,283.566667
artigos_de_festas,2017-12,2,549.92,257.600000
artigos_de_festas,2018-01,2,170.26,67.900000
artigos_de_festas,2018-03,6,1070.29,152.316667
