customer_state,total_orders,total_revenue,avg_delivery_time,avg_delay,late_deliveries,on_time_deliveries
"SP",42309,5770266.19,8.7156,-11.0983,1874,40428
"RJ",13004,2055690.45,15.3089,-11.7901,1573,11431
"MG",11804,1819277.61,11.9301,-13.2620,533,11271
"RS",5544,861802.40,15.2138,-13.9522,332,5211
"PR",5129,781919.55,11.9807,-13.3096,207,4922
"SC",3661,595208.40,14.8880,-11.5291,300,3361
"BA",3483,591270.60,19.1990,-10.8432,418,3065
"DF",2142,346146.17,12.8641,-12.0495,119,2023
"ES",2068,317682.65,15.7660,-10.4541,221,1847
"GO",2047,334294.22,15.5159,-12.1715,129,1918
"PE",1667,309074.59,18.3935,-13.3179,162,1505
"CE",1341,266463.97,21.0701,-10.9314,183,1158
"PA",981,212027.55,23.6840,-14.0948,109,872
"MT",909,181441.72,17.9703,-14.3498,54,855
"MA",735,147807.29,21.5701,-9.5469,128,607
"MS",722,134421.54,15.5125,-11.0637,69,653
"PB",551,137834.65,20.4392,-13.2178,60,491
"RN",511,100728.30,19.6086,-13.3601,55,456
"PI",504,105272.17,19.3810,-11.2520,72,432
"AL",411,94195.79,24.6618,-8.4964,90,321
"SE",344,70289.13,21.3663,-10.0640,51,293
"TO",295,60007.37,17.2780,-12.3356,27,268
"RO",251,56975.70,19.2470,-20.0359,7,244
"AM",151,27596.18,26.5099,-19.4967,4,147
"AC",83,19586.25,20.8193,-20.9639,3,80
"AP",69,16141.81,27.1014,-19.9565,2,67
"RR",41,9039.52,29.3415,-17.2927,5,36
